Contact name input ▽,processing,,,,,,,,#1 Frame nodes,
Frame contact No.,X,Y,Z,接点名,３D,X,Y,Z,Top of upper level sandbag with foundation on top,
1290,7.800 ,10.800 ,0.000 ,      1290,        3D,     7.800,    10.800,     0.000,      1290        3D     7.800    10.800     0.000,
1291,12.000 ,10.800 ,0.000 ,      1291,        3D,    12.000,    10.800,     0.000,      1291        3D    12.000    10.800     0.000,
1292,12.450 ,10.800 ,0.000 ,      1292,        3D,    12.450,    10.800,     0.000,      1292        3D    12.450    10.800     0.000,
1293,12.900 ,10.800 ,0.000 ,      1293,        3D,    12.900,    10.800,     0.000,      1293        3D    12.900    10.800     0.000,
1294,13.350 ,10.800 ,0.000 ,      1294,        3D,    13.350,    10.800,     0.000,      1294        3D    13.350    10.800     0.000,
1295,13.800 ,10.800 ,0.000 ,      1295,        3D,    13.800,    10.800,     0.000,      1295        3D    13.800    10.800     0.000,
1296,18.000 ,10.800 ,0.000 ,      1296,        3D,    18.000,    10.800,     0.000,      1296        3D    18.000    10.800     0.000,
1297,18.450 ,10.800 ,0.000 ,      1297,        3D,    18.450,    10.800,     0.000,      1297        3D    18.450    10.800     0.000,
1298,18.900 ,10.800 ,0.000 ,      1298,        3D,    18.900,    10.800,     0.000,      1298        3D    18.900    10.800     0.000,
1299,19.350 ,10.800 ,0.000 ,      1299,        3D,    19.350,    10.800,     0.000,      1299        3D    19.350    10.800     0.000,
1300,19.800 ,10.800 ,0.000 ,      1300,        3D,    19.800,    10.800,     0.000,      1300        3D    19.800    10.800     0.000,
